#Dodaj obiekty w formacie:
#[Nazwa][,Masa[,Srednica[,x[,y[,z[,Vx[,Vy[,Vz[,Fx[,Fy[,Fz]]...]
#gdzie [] oznacza opcję
#np. Ziemia,5.9722e+24,6000000,0,0,0,0,0,0
#lub InnyObiekt,1,,,60000
#Kolejne dane oddzielaj przecinkami
#Prędkości powyżej c będą normalizowane do c
#Domyślne wartości to 0.0 dla każdej danej

Slonce,1.9891e30,1392.0e6,0,0,0,0,0,0,0,0,0,0.929 0.725 0.113
Merkury,3.302e23,4879.4e3,-45.106711e9,0,-9.0213422e9,-11.566929e3,0,57.834648e3,0,0,0,0.658 0.619 0.6
Venus,4.8675e24,12103.6e3,-80.17338e9,0,71.583375e9,23.4837160258e3,0,26.3017619489e3,0,0,0,0.823 0.831 0.627
Ziemia,5.9723e24,12756.27e3,-143.0284482483e9,0,34.3268275796e9,7.0688667305e3,0,29.453611377e3,0,0,0,0.035 0.341 0.843
Mars,0.64171e24,6792.4e3,84.1855904771e9,0,-188.6918407246e9,-24.2006281057e3,0,-10.7972033087e3,0,0,0,0.843 0.313 0.035
Jowisz,1898.19e24,142.984e6,-203.4364896306e9,0,-712.027713707e9,-13.1921085616e3,0,3.7691738748e3,0,0,0,0.611 0.411 0.309
Saturn,568.34e24,120.536e6,-1352.55e9,0,0,0,0,10.18e3,0,0,0,0.878 0.854 0.521
Uran,86.813e24,51118e3,-467.5052322176e9,0,2701.1413417015e9,7.0058420966e3,0,1.2125495936e3,0,0,0,0.572 0.929 0.874
Neptun,102.413e24,49528e3,-2724.9989435435e9,0,-3511.0563311042e9,-4.3449267786e3,0,3.3721819774e3,0,0,0,0.137 0.180 0.905
Pluton,0.01303e24,2374e3,-3137.3055089041e9,0,-3137.3055089041e9,-4.3133513652e3,0,4.3133513652e3,0,0,0,0.447 0.349 0.152
